slug,term,opus_sound,opus_codes,sonnet_sound,sonnet_codes,detector_codes
reporting-date,reporting date,True,HOMONYM,True,SCOPECONF,
reporting-entity,reporting entity,True,CIRC,False,CIRC,CIRC
reporting-unit,reporting unit,True,,True,,
repurchase-agreement,Repurchase Agreement,True,,True,,
repurchase-agreement-accounted-for-as-a-collateralized-borrowing,Repurchase Agreement Accounted for as a Collateralized Borrowing,True,INCONS;SCOPECONF,True,,
repurchase-financing,repurchase financing,True,,True,,
repurchase-to-maturity-transaction,Repurchase-to-Maturity Transaction,True,,True,,
requisite-service-period,requisite service period,True,CIRC,True,,CIRC
research-and-development,research and development,True,,True,,
reseller,Reseller,True,,True,,
reservoir,reservoir,True,,True,,
reset-date,reset date,True,,True,,
residual-value,residual value,True,INCONS,True,,
residual-value-guarantee,Residual Value Guarantee,True,,True,,
restate-translate,restate-translate,True,,True,STALE,
restatement,Restatement,True,,True,,
restricted-net-assets,restricted net assets,False,POINTER,False,POINTER,POINTER
restricted-share,Restricted Share,True,,True,,
restriction,restriction,True,,True,,
restructuring,restructuring,False,NONAUTH,False,NONAUTH,NONAUTH
retains,retains,True,,True,,
retired-life-fund,Retired life fund,True,,True,,
retirees,retirees,True,,True,,
retirement,Retirement,True,,True,,
retroactive-reinsurance,retroactive reinsurance,True,,True,,
retrocession,retrocession,True,,True,,
retrospective-application,retrospective application,True,,True,,
retrospective-interest-method,retrospective interest method,True,,True,,
return-of-capital,return of capital,True,,True,UNDEF,
return-of-premium-death-benefit,return of premium death benefit,True,,True,,
reunderwriting,reunderwriting,True,,True,,
revenue,Revenue,True,,True,,
reverse-acquisition,reverse acquisitions,True,,True,,
reverse-repurchase-agreement-accounted-for-as-a-collateralized-borrowing,Reverse Repurchase Agreement Accounted for as a Collateralized Borrowing,True,SCOPECONF,False,INCONS;SELF,
reverse-spinoff,reverse spinoff,True,,True,,
reverse-treasury-stock-method,reverse treasury stock method,True,,True,,
revised-financial-statements,Revised Financial Statements,True,,True,,
revolving-period-securitizations,revolving-period securitizations,True,UNDEF,True,,
right-of-setoff,right of setoff,True,,True,,
right-of-use-asset,Right-of-Use Asset,True,,True,,
rights-issue,rights issue,True,,True,,
risk-of-adverse-deviation,Risk of Adverse Deviation,True,,True,,
risk-of-antiselection,risk of antiselection,True,,True,MALFORMED,
risk-premium,Risk Premium,True,,True,,
roll-up-death-benefit,Roll-up death benefit,True,,True,,
rollout,rollout,True,,True,,
rollup,rollup,True,,True,HOMONYM,
rotable-parts,rotable parts,True,,True,SELF,
row-crops,row crop,True,POINTER,False,POINTER,POINTER
royalties,royalties,True,INCONS,True,,
sabbatical-leave,Sabbatical leave,True,,True,,
sale-leaseback-accounting,Sale-Leaseback Accounting,False,STALE,False,STALE,STALE
saleable-hydrocarbons,Saleable Hydrocarbons,True,SELF,True,,
sales-inducements,Sales Inducements,True,,True,,
sales-type-lease,Sales-Type Lease,True,CIRC,False,CIRC,CIRC
salvage,salvage,True,,True,,
sampler-program,Sampler Program,True,,True,,
secured-claim,secured claim,True,,True,,
secured-overnight-financing-rate-sofr-overnight-index-swap-rate,Secured Overnight Financing Rate (SOFR) Overnight Index Swap Rate,True,,True,,
securities-and-exchange-commission-sec-filer,Securities and Exchange Commission (SEC) Filer,True,,True,,
securities-and-exchange-commission-registrant,Securities and Exchange Commission Registrant,True,,True,,
securities-custodian,securities custodian,False,MALFORMED;UNDEF,False,SELF,
securities-industry-and-financial-markets-association-sifma-municipal-swap-rate,Securities Industry and Financial Markets Association (SIFMA) Municipal Swap Rate,True,,True,,
securitization,Securitizations,True,,True,,
security,Security,True,,True,,
security-interest,security interest,True,,True,,
seed-money,seed money,True,,True,,
seller,seller,True,,True,,
seller-subsidy,seller subsidies,True,,True,,
selling-profit-or-selling-loss,Selling Profit or Selling Loss,True,,True,,
separate-account,separate account,False,INCONS,True,,
separate-account-arrangement,separate account arrangement,True,,True,,
separately-priced-contracts,Separately priced contracts,False,STALE,True,,
service,Service,True,,False,INCONS,
service-condition,Service Condition,True,CIRC,False,CIRC,CIRC
service-cooperative,service cooperatives,True,,True,,
service-corporation,service corporations,False,SELF,True,,
service-cost-component-of-net-periodic-pension-cost,Service Cost (Component of Net Periodic Pension Cost),True,,True,,
service-cost-component-of-net-periodic-postretirement-benefit-cost,Service Cost (Component of Net Periodic Postretirement Benefit Cost),True,,True,,
service-inception-date,Service Inception Date,True,,True,CIRC,CIRC
service-well,service wells,True,,True,,
servicing-assets,Servicing Assets,True,,True,,
servicing-liabilities,servicing liabilities,True,,True,,
set-for-production,set for production,True,,True,,
set-off-right,Set-off Right,True,,True,,
settlement-of-a-pension-or-postretirement-benefit-obligation,settlement,True,HOMONYM,True,HOMONYM,HOMONYM
settlement-of-an-award,settlement,True,HOMONYM,True,HOMONYM,HOMONYM
settlement-period,settlement period,True,,True,,
severe-impact,severe impact,True,,True,,
share-option,Share Option,True,,True,,
share-unit,share unit,True,,True,,
share-based-payment-arrangements,Share-Based Payment Arrangements,True,,True,,
share-based-payment-transactions,share-based payment transactions,True,,True,,
shares,shares,False,NONAUTH;SELF,True,,
short-term-inducement,short-term inducement,True,,True,,
short-term-lease,Short-Term Lease,True,,True,,
short-term-obligations,Short-term obligations,True,,True,,
significant-changes,significant,False,PENDING;STALE,False,MALFORMED;PENDING;STALE,DANGLING;PENDING;STALE
significant-oil-and-gas-producing-activities,Significant Activities,True,STALE,False,DANGLING;MALFORMED,DANGLING
significant-changes-to-a-film,Significant Changes to a Film,True,,True,,
significant-geographic-area,significant geographic area,True,POINTER,False,POINTER,DANGLING;POINTER
significant-influence,significant influence,True,POINTER,False,POINTER,POINTER
simultaneous-equations-method,simultaneous-equations,True,MALFORMED,False,MALFORMED,
single-premium-deferred-annuity,single premium deferred annuity,True,,True,,
single-employer-plan,Single-Employer Plan,True,,True,,
slot-machine,Slot Machine,True,,True,,
soft-dollar-arrangements,soft-dollar arrangements,True,,True,,
spare-parts,spare parts,True,,True,,
special-termination-benefits,special termination benefits,True,,True,,
time-sharing-special-purpose-entity,special-purpose entity,True,HOMONYM,False,SCOPECONF,
specialized-skills,specialized skills,True,MALFORMED,True,,
spending-rate,Spending Rate,True,,True,,
spinoff,spinoff,True,,True,,
split-interest-agreement,Split-Interest Agreement,True,,False,CIRC,CIRC
split-off,split-off,True,,True,,
sponsor,Sponsor,True,,True,,
spot-rate,Spot Rate,True,,True,,
springing-lock-box-arrangement,springing lock-box arrangement,False,MALFORMED,True,MALFORMED,
standalone-price,Standalone Price,True,,True,,
standalone-selling-price,Standalone Selling Price,True,,True,,
standard-antidilution-provisions,Standard Antidilution Provisions,True,,True,,
standard-representations-and-warranties,Standard Representations and Warranties,True,,True,,
standby-letter-of-credit,Standby letters of credit,True,MALFORMED;STALE,True,MALFORMED,
standstill-agreement,standstill agreement,True,,True,,
start-up-activities,start-up activities,True,,True,,
statement-of-changes-in-net-assets-in-liquidation,Statement of Changes in Net Assets in Liquidation,True,,True,,
statement-of-net-assets-in-liquidation,Statement of Net Assets in Liquidation,True,,True,,
statutory-accounting-practices,statutory accounting practices,True,,True,,
step-bonds,step bonds,True,,True,,
stipulation,Stipulation,True,,True,,
stock-appreciation-right,stock appreciation right,True,,True,,
stock-dividend,stock dividend,True,,True,,
stock-split,stock split,True,,True,,
stop-loss-arrangement,stop-loss arrangements,True,MALFORMED,True,MALFORMED,
stop-loss-insurance,stop-loss insurance,False,INCONS,True,,
stratigraphic-test-well,Stratigraphic Test Well,True,,True,,
strict-liability,strict liability,True,,True,,
stripping-costs,stripping costs,True,,True,,
structured-note,structured note,True,,True,,
stub-period,stub period,True,STALE,True,STALE,
stub-rate,stub rate,True,,True,,
subcontractor-claims,subcontractor claims,True,,True,,
subjective-acceleration-clause,subjective acceleration clause,True,,True,,
sublease,Sublease,True,,True,,
subordinated-financial-support,subordinated financial support,True,,True,,
subrogation,subrogation,True,,True,,
subscriber-related-costs,subscriber-related costs,True,,True,,
subscription-form-demutualization,subscription-form demutualization,True,,True,,
subsequent-events,subsequent events,True,,True,,
subsidiary,subsidiary,True,,True,,
substantial-doubt-about-an-entity-s-ability-to-continue-as-a-going-concern,Substantial Doubt about an Entity's Ability to Continue as a Going Concern,True,,True,,
substantive-conversion-feature,Substantive conversion feature,True,,True,,
substantive-plan,substantive plan,True,,True,,
supplemental-actuarial-value,supplemental actuarial value,True,,True,,
supply-cooperative,Supply,False,MALFORMED,False,MALFORMED;POINTER,
support-equipment-and-facilities,support equipment and facilities,True,SELF,True,,
supporting-activities,supporting activities,True,,False,CIRC,CIRC
surplus-notes,surplus notes,True,,True,,
surrender-charge,surrender charge,True,,True,,
surrender-charges,surrender charges,True,,True,,
suspense-shares,suspense shares,True,,True,,
syndication-activities,syndication activities,True,,True,,
synthetic-instrument-accounting,Synthetic instrument accounting,True,,True,SELF,
systematic-risk,Systematic Risk,True,,True,,
tail-coverage,tail coverage,True,,True,,
take-or-pay-contract,take-or-pay,True,MALFORMED,True,,
tandem-award,tandem award,True,,True,,
tax-or-benefit,tax (or benefit),True,,True,SELF,
tax-consequences,tax consequences,True,,True,,
tax-position,tax position,True,CIRC,True,,CIRC
tax-planning-strategy,tax-planning strategy,True,,True,,
taxable-temporary-difference,taxable,True,,True,UNDEF,
taxable-income,taxable income,True,,True,,
temporary-difference,Temporary Difference,True,CIRC,True,CIRC,CIRC
tentative-minimum-tax,tentative minimum tax,True,,True,POINTER,
term-endowment,term endowment,True,,True,,
term-life-insurance,Term life insurance,True,,True,,
terminal-dividends,terminal dividends,True,,True,,
terminal-value,terminal value,True,,True,,
terminating-plan,terminating plans,True,,True,MALFORMED,
termination,Termination,False,INCONS,True,SCOPECONF,
termination-benefits,Termination Benefits,True,,True,,
termination-indemnities,termination indemnities,True,MALFORMED,True,,
termination-rate,termination rates,True,,True,,
terms-of-a-share-based-payment-award,terms of a share-based payment award,True,,True,,
territory,territory,True,,True,,
testing,testing,True,,True,,
theoretical-investment,theoretical investment,False,POINTER,False,POINTER,CIRC;DANGLING;POINTER
throughput-contract,throughput contracts,True,,True,,
time-of-issuance,time of issuance,True,,True,,
time-of-restructuring,time of the restructuring,True,,True,,
time-value,time value,True,,True,,
time-value-of-an-option,time value of an option,True,,True,,
time-share,time-share,False,POINTER,False,POINTER,POINTER
time-sharing,Time-Sharing,True,,True,,
time-sharing-interest,time-sharing interests,True,POINTER,False,POINTER,POINTER
timing-risk,timing risk,True,,True,,
title-insurance-entity,Title insurance entities,True,,True,,
title-plant,title plant,True,,True,,
top-off-provision,top-off,True,POINTER,False,POINTER,POINTER
top-up-shares,top-up shares,True,,True,,
total-return,Total Return,True,,True,,
trading,trading,True,,True,,DANGLING
trading-purposes,trading purposes,False,INCONS;POINTER,True,,
trading-securities,Trading securities,True,,True,,
traditional-12b-1-plan,traditional 12b-1 plan,True,,True,NONAUTH,
traditional-variable-annuity,traditional variable annuity,True,,True,,
transaction,Transaction,True,NONAUTH;PENDING,False,NONAUTH;PENDING,NONAUTH;PENDING
transaction-costs,Transaction Costs,True,,True,,
transaction-date,transaction date,True,,True,,
transaction-gain-or-loss,Transaction Gain or Loss,True,,True,,
transaction-price,transaction price,True,,True,,
transfer,Transfer,False,NONAUTH;PENDING;SCOPECONF,False,NONAUTH;PENDING;SCOPECONF,NONAUTH;PENDING;SCOPECONF
transferee,Transferee,True,,True,,
transferor,Transferor,True,,True,,
transferred-financial-assets,Transferred Financial Assets,True,MALFORMED,True,,
transition-asset,transition asset,True,STALE,True,,
transition-obligation,transition obligation,True,STALE,True,,
translate-restate,translate-restate,True,,True,,
translation,translation,True,POINTER,False,POINTER,POINTER
translation-adjustments,translation adjustment,True,,True,,
transportation-costs,Transportation Costs,True,,True,,
treasury-stock-method,treasury stock method,True,,True,,
troubled-debt-restructuring,Troubled Debt Restructuring,True,,True,,
trustee,trustee,True,,True,,
turnover,turnover,True,,True,,
two-tier-annuity,two-tier annuity,True,,True,,
unallocated-contract,Unallocated Contract,True,,True,,
uncollectibility,uncollectibility,True,,True,,
uncommitted-loans,Uncommitted loans,True,MALFORMED,True,,
uncompleted-wells-equipment-and-facilities,"Uncompleted wells, equipment, and facilities",False,SELF,True,SELF,
unconditional-promise-to-give,unconditional promises to give,True,,True,,
unconditional-purchase-obligation,unconditional purchase obligations,True,,True,,
underlying,underlying,True,,True,,
underlying-asset,Underlying Asset,True,,True,,
undersecured-claim,Undersecured claim,True,,True,,
underwater-endowment-fund,Underwater Endowment Fund,True,,True,,
underwriting-risk,Underwriting Risk,True,,True,,
undeveloped-oil-and-gas-reserves,Undeveloped Oil and Gas Reserves,True,POINTER,False,POINTER,POINTER
undivided-interest,undivided interest,True,,True,,
unfunded-accumulated-postretirement-benefit-obligation,unfunded accumulated postretirement benefit obligation,True,,True,,
unfunded-projected-benefit-obligation,unfunded projected benefit obligation,True,INCONS,True,,
unguaranteed-residual-asset,Unguaranteed Residual Asset,True,,True,,
unguaranteed-residual-value,unguaranteed residual value,False,STALE,True,,
unilateral-ability,unilateral ability,True,,True,,
unilateral-administrative-order,unilateral administrative order,True,,True,,
unit-of-account,Unit of Account,True,INCONS,True,,
unitized,unitized,False,DANGLING;POINTER,False,DANGLING;POINTER,DANGLING;POINTER
units-of-revenue-method,units-of-revenue method,True,,True,,
unknown-potentially-responsible-party,Unknown Potentially Responsible Party,True,,True,,
unobservable-inputs,Unobservable Inputs,True,,True,,
unproved-properties,unproved properties,True,,True,SELF,
unproven-potentially-responsible-party,Unproven Potentially Responsible Party,True,,True,,
unrecognized-tax-benefit,unrecognized tax benefit,True,MALFORMED,True,,
unsecured-claim,unsecured claim,False,MALFORMED,True,,
unsystematic-risk,Unsystematic Risk,True,,True,,
unusual-nature,Unusual Nature,True,,True,,
upgrade,upgrade,True,,True,,
upmifa,UPMIFA,True,,True,,
useful-life,useful life,True,,True,,
valuation-allowance,valuation allowance,True,CIRC,False,CIRC,CIRC
valuation-of-assets,Valuation of assets,False,MALFORMED;POINTER,False,DANGLING;NONAUTH;POINTER,DANGLING;POINTER
value,Value,False,POINTER,False,NONAUTH;POINTER,DANGLING;POINTER
value-beyond-proven-and-probable-reserves,value beyond proven and probable reserves,True,UNDEF,True,,
value-in-use,value in use,True,,False,STALE,
variable-annuity-contract,variable annuity contract,True,,True,,
variable-interest-entity,Variable Interest Entity,True,,True,,
variable-interests,Variable Interests,False,CIRC,False,CIRC,CIRC;DANGLING
variable-lease-payments,Variable Lease Payments,True,,True,,
variable-rate-forward-contracts,variable-rate forward contract,True,STALE,True,,
variance-power,Variance Power,True,,True,,
vendor,Vendor,True,,True,,
vest,Vest,True,MALFORMED,True,,
vested-benefit-information,vested benefit information,True,,True,,
vested-benefit-obligation,vested benefit obligation,True,,True,,
vested-benefits,Vested Benefits,True,,True,,
vineyards,vineyards,True,,True,,
violation-of-a-provision,violation of a provision,True,,True,,
volatility,volatility,True,,True,,
voluntary-health-and-welfare-entity,voluntary health and welfare entity,True,,True,,
warrant,warrant,True,,True,,
warranty,Warranty,True,,True,,
weather-derivative,weather derivative,True,,True,,
weighted-average-number-of-common-shares-outstanding,weighted-average number of common shares outstanding,True,,True,,
wells-and-related-equipment-and-facilities,Wells and related equipment and facilities,True,,True,,
whole-life-contract,whole-life contracts,True,,True,,
with-cause,With Cause,True,,True,,
without-cause,Without Cause,True,,True,,
working-capital,working capital,True,,True,,
working-model,working model,True,,True,,
workout-expenditures,Workout expenditures,True,,True,,
wrap,wraps,True,INCONS,True,,
written-notice-of-allocation,Written Notice of Allocation,True,,True,,
zero-coupon-method,zero-coupon method,True,,True,,
